Index,Name, Offset,Slope
118, mesh_pre_amp, 1.000000, 0.000000
119, get_trig_accepted, 1.000000, 0.000000
120, sca_logic, 1.000000, 0.000000
121, veto_logic, 1.000000, 0.000000
122, beam_on, 1.000000, 0.000000
123, beam_off, 1.000000, 0.000000
124, chopper_on, 1.000000, 0.000000
125, chopper_off, 1.000000, 0.000000
128, msx100, 1.000000, 0.000000
129, msx40, 1.000000, 0.000000
13, cross_scint_b2, 1.000000, 0.000000
14, cross_scint_t2, 1.000000, 0.000000
16, db_5_scint, 1.000000, 0.000000
18, db_3_scint_l, 1.000000, 0.000000
48, clover_1a, 0.190140, 5.332810
49, clover_1b, 0.185366, 3.453970
50, clover_1c, 0.186913, 3.288570
51, clover_1d, 0.189895, 3.202440
52, clover_2a, 0.187329, 3.398280
53, clover_2b, 0.182030, 2.892080
54, clover_2c, 0.187557, 1.475810
55, clover_2d, 0.186716, 2.748120
56, clover_3a, 0.154992, 2.609910
84, clover_3b, 0.154439, 2.143960
85, clover_3c, 0.222149, 4.025680
59, clover_3d, 0.185901, 2.051450
64, clover_5a, 0.137406, -2.873680
65, clover_5b, 0.179508, -1.448500
66, clover_5c, 0.180430, 8.423360
67, clover_5d, 0.183809, 1.623820
68, clover_6a, 0.189094, 2.733300
69, clover_6b, 0.188358, 1.620690
70, clover_6c, 0.185150, 0.847739
71, clover_6d, 0.186903, 1.833610
86, clover_7a, 0.195167, 2.680520
87, clover_7b, 0.196006, 2.322820
88, clover_7c, 0.185591, 1.412940
75, clover_7d, 0.192071, 4.482760
144, clover_9a, 0.433671, 1.982650
145, clover_9b, 0.443969, -0.559353
146, clover_9c, 0.425724, 3.913050
147, clover_9d, 0.155801, 2.115860
148, clover_10a, 0.199211, 3.712330
149, clover_10b, 0.191105, 2.801320
150, clover_10c, 0.176648, 3.608490
151, clover_10d, 0.178703, 2.486970
152, clover_11a, 0.183236, 2.116600
153, clover_11b, 0.185365, 1.950670
154, clover_11c, 0.139490, -2.644700
155, clover_11d, 0.138942, -0.480724
