det,deti,theta,phi,thetai,phii,r,ri
1,1,123.00,315.00,128.90,322.88,19.78,19.05
1,2,123.00,315.00,128.90,307.12,19.78,19.05
1,3,123.00,315.00,116.67,308.14,19.78,19.05
1,4,123.00,315.00,116.67,321.86,19.78,19.05
2,1,123.00,270.00,128.89,277.88,19.78,19.05
2,2,123.00,270.00,128.89,262.12,19.78,19.05
2,3,123.00,270.00,116.67,263.14,19.78,19.05
2,4,123.00,270.00,116.67,276.86,19.78,19.05
3,1,122.56,224.03,128.45,231.87,19.78,19.05
3,2,122.56,224.03,128.46,216.20,19.78,19.05
3,3,122.56,224.03,116.23,217.20,19.78,19.05
3,4,122.56,224.03,116.23,230.87,19.78,19.05
4,1,123.00,180.00,128.89,187.88,19.78,19.05
4,2,123.00,180.00,128.89,172.12,19.78,19.05
4,3,123.00,180.00,116.67,173.14,19.78,19.05
4,4,123.00,180.00,116.67,186.86,19.78,19.05
5,1,90.00,334.29,100.52,344.99,11.56,10.67
5,2,90.00,334.29,100.52,323.58,11.56,10.67
5,3,90.00,334.29,79.48,323.58,11.56,10.67
5,4,90.00,334.29,79.48,344.99,11.56,10.67
6,1,90.00,282.86,100.52,293.56,11.56,10.67
6,2,90.00,282.86,100.52,272.15,11.56,10.67
6,3,90.00,282.86,79.48,272.15,11.56,10.67
6,4,90.00,282.86,79.48,293.56,11.56,10.67
7,1,90.00,231.43,100.52,242.13,11.56,10.67
7,2,90.00,231.43,100.52,220.73,11.56,10.67
7,3,90.00,231.43,79.48,220.73,11.56,10.67
7,4,90.00,231.43,79.48,242.13,11.56,10.67
8,1,90.00,180.00,100.50,190.68,11.58,10.69
8,2,90.00,180.00,100.50,169.32,11.58,10.69
8,3,90.00,180.00,79.50,169.32,11.58,10.69
8,4,90.00,180.00,79.50,190.68,11.58,10.69
9,1,60.00,290.00,66.31,296.69,19.78,19.05
9,2,60.00,290.00,66.30,283.31,19.78,19.05
9,3,60.00,290.00,54.08,282.43,19.78,19.05
9,4,60.00,290.00,54.08,297.58,19.78,19.05
10,1,60.00,249.99,66.30,256.69,19.78,19.05
10,2,60.00,249.99,66.31,243.31,19.78,19.05
10,3,60.00,249.99,54.08,242.42,19.78,19.05
10,4,60.00,249.99,54.08,257.57,19.78,19.05
11,1,48.00,334.00,53.83,346.46,15.27,14.48
11,2,48.00,334.00,58.21,328.01,15.27,14.48
11,3,48.00,334.00,43.77,319.42,15.27,14.48
11,4,48.00,334.00,38.22,342.25,15.27,14.48
12,1,25.00,270.00,31.70,281.72,19.78,19.05
12,2,25.00,270.00,31.70,258.28,19.78,19.05
12,3,25.00,270.00,19.78,251.61,19.78,19.05
12,4,25.00,270.00,19.78,288.39,19.78,19.05
13,1,48.00,206.00,58.21,211.99,15.27,14.48
13,2,48.00,206.00,53.83,193.54,15.27,14.48
13,3,48.00,206.00,38.22,197.75,15.27,14.48
13,4,48.00,206.00,43.77,220.58,15.27,14.48
14,1,123.00,45.00,128.90,52.88,19.78,19.05
14,2,123.00,45.00,128.90,37.12,19.78,19.05
14,3,123.00,45.00,116.67,38.14,19.78,19.05
14,4,123.00,45.00,116.67,51.86,19.78,19.05
15,1,123.00,90.00,128.89,97.88,19.78,19.05
15,2,123.00,90.00,128.89,82.12,19.78,19.05
15,3,123.00,90.00,116.67,83.14,19.78,19.05
15,4,123.00,90.00,116.67,96.86,19.78,19.05
16,1,122.56,135.97,128.46,143.80,19.78,19.05
16,2,122.56,135.97,128.45,128.13,19.78,19.05
16,3,122.56,135.97,116.23,129.13,19.78,19.05
16,4,122.56,135.97,116.23,142.80,19.78,19.05
17,1,90.00,25.71,100.52,36.42,11.56,10.67
17,2,90.00,25.71,100.52,15.01,11.56,10.67
17,3,90.00,25.71,79.48,15.01,11.56,10.67
17,4,90.00,25.71,79.48,36.42,11.56,10.67
18,1,90.00,77.14,100.52,87.85,11.56,10.67
18,2,90.00,77.14,100.52,66.44,11.56,10.67
18,3,90.00,77.14,79.48,66.44,11.56,10.67
18,4,90.00,77.14,79.48,87.85,11.56,10.67
19,1,90.00,128.57,100.52,139.27,11.56,10.67
19,2,90.00,128.57,100.52,117.87,11.56,10.67
19,3,90.00,128.57,79.48,117.87,11.56,10.67
19,4,90.00,128.57,79.48,139.27,11.56,10.67
20,1,60.00,70.00,66.30,76.69,19.78,19.05
20,2,60.00,70.00,66.31,63.31,19.78,19.05
20,3,60.00,70.00,54.08,62.42,19.78,19.05
20,4,60.00,70.00,54.08,77.57,19.78,19.05
21,1,60.00,110.01,66.31,116.69,19.78,19.05
21,2,60.00,110.01,66.30,103.31,19.78,19.05
21,3,60.00,110.01,54.08,102.43,19.78,19.05
21,4,60.00,110.01,54.08,117.58,19.78,19.05
22,1,48.00,26.00,58.21,31.99,15.27,14.48
22,2,48.00,26.00,53.83,13.54,15.27,14.48
22,3,48.00,26.00,38.22,17.75,15.27,14.48
22,4,48.00,26.00,43.77,40.58,15.27,14.48
23,1,25.00,90.00,31.70,101.72,19.78,19.05
23,2,25.00,90.00,31.70,78.28,19.78,19.05
23,3,25.00,90.00,19.78,71.61,19.78,19.05
23,4,25.00,90.00,19.78,108.39,19.78,19.05
24,1,48.00,154.00,53.83,166.46,15.27,14.48
24,2,48.00,154.00,58.21,148.01,15.27,14.48
24,3,48.00,154.00,43.77,139.42,15.27,14.48
24,4,48.00,154.00,38.22,162.25,15.27,14.48
