Index,Offset,Slope
00,5.33281,0.19014
01,3.45397,0.185366
02,3.28857,0.186913
03,3.20244,0.189895
04,3.39828,0.187329
05,2.89208,0.18203
06,1.47581,0.187557
07,2.74812,0.186716
08,2.60991,0.154992
09,2.14396,0.154439
10,4.02568,0.222149
11,2.05145,0.185901
12,0,1
13,0,1
14,0,1
15,0,1
16,-2.87368,0.137406
17,-1.4485,0.179508
18,8.42336,0.18043
19,1.62382,0.183809
20,2.7333,0.189094
21,1.62069,0.188358
22,0.847739,0.18515
23,1.83361,0.186903
24,2.68052,0.195167
25,2.32282,0.196006
26,1.41294,0.185591
27,4.48276,0.192071
28,0,1
29,0,1
30,0,1
31,0,1
32,1.98265,0.433671
33,-0.559353,0.443969
34,3.91305,0.425724
35,2.11586,0.155801
36,3.71233,0.199211
37,2.80132,0.191105
38,3.60849,0.176648
39,2.48697,0.178703
40,2.1166,0.183236
41,1.95067,0.185365
42,-2.6447,0.13949
43,-0.480724,0.138942
44,0,1
45,0,1
46,0,1
47,0,1
48,0,1
49,0,1
50,0,1
51,0,1
52,0,1
53,0,1
54,0,1
55,0,1
56,0,1
57,0,1
58,0,1
59,0,1
60,0,1
61,0,1
62,0,1
63,0,1
