fit_window,peak energy,from decay of,known peak energy (keV),known peak energy uncertainty(keV),use for calibration?,notes,gate,bg_gate,coincidence_hist,coincidences,,,,
180-190,185,?,,,,,,,,,,,considered:,"60Cu, 59Cu, 60Zn, 60Ga, 58Cu, common backgrounds"
195-206,198,71mGe,,,,"20.22 ms isomer, half life is correct. No coincidences with other gammas, but this makes sense because of lifetime.",,,,,,,,
,203,,,,,excess visible in 198 keV fit,,,,,,,,
230-250,238.5,212Pb?,,,,,,,,,,,,
,241,?,,,,shoulder on 238 peak,,,,,,,,
267-282,269,,,,,shoulder on 272.5 peak,,,,,,,,
,272.5,60Zn,273.4,0.4,yes,1969Ho01,,,,,,,,
,277,,,,,,,,,,,,,
290-310,295,214Pb?,,,,,,,,,,,,
,299,,,,,,,,,,,,,
318-336,327,,,,,,,,,,,,,
,334,60Zn,,,"no, bad fit","1969Ho01, poor fit because of nearby compton edge",,,,,,,,
336-343,338.6,59Cu or 60Ga?,,,,"Room background line and overlapping 59Cu line possibly. In bg run 281, measured half life to be  56.9376 -23.1428/+18.428 seconds using fit_decay_curve((337,340), (0,100), (310,330), E_v_t)
 ",,,,,,,,
348-356,351.9,214Pb?,,,,,,,,,,,,
360-368,364.4,60Zn,364.6,0.1,yes,1969Ho01,,,,,,,,
404-414,409,?,,,,,,,,,,,,
418-428,423,59Zn? 59Cu?,,,,"1983Ar12 for 59Zn, placement in level scheme not certain.1973Va03+1977Se02 for 59Cu. Height relative to 464 line is approx correct to just be from 59Cu",,,,,,,,
430-448,439,?,,,,,,,,,,,,
457-475,464,59Cu,,,,1973Va03+1977Se02,,,,,,,,
,467,,,,,"peak not obvious in spectrum, but expected from 60Cu, 1972Va19",,,,,,,,
485-500,491.4,"59Zn",491.4,0.1,yes,1983Ar12,,,,,,,,
,497,60Cu,497.9,0.2,yes,1972Va19,,,,,,,,
500-520,511,annihilation,,,,,,,,,,,,
530-552,538,59Cu,538.55,0.14,yes,1973Va03+1977Se02,,,,,,,,
,545,59Cu,545.75,0.14,yes,1973Va03+1977Se02.,544-547,548-551,,,,,,
557-576,562,"76Ge(n,n')",,,,"228Ac coincidences not present, only present when beam is on",561-563,,567-569,845?,,,,
,570,?,,,,,,,,,,,,
,572,60Zn (511 + 61),,,,shoulder on 570 peak? 1961Ho01. Not placed in level scheme,,,,,,,,
577-589,583,208Tl,,,,coincidence w/ 2614,,,,,,,,
588-618,596,74*Ge?,,,,not present when beam off,,,,,,,,
,609,214Bi? 60Cu?,,,," may have transisiton of similar energy which hasn't been observed (ENSDF comment)",,,,,,,,
618-653,629,228Ac?,,,,"no obvious coincidences, some hints of peaks at energies other than those for 228Ac",,,"h629 = degai.get_bg_subtracted_projection(coincidence_hist, 629, 1, 633,1)",,,,,
,643,60Cu,643.2,0.3,yes,1972Va19,,,,,,,,
653-674,661,137Cs?,,,,t1/2 =  0.0669587   +/-   1.08184. No coincidence with 511.,,,,none with 511,,,,
,665,,,,,excess counts in the peak if peak not included,,,,,,,,
,669,63*Cu? and/or 60Ga. and/or 60Zn,,,,"60Ga  in 2021Or01. 1969Ho01 for 60Zn. Halflife ~infinity, ruling out 60Ga and 60Zn",,,,,,,,
674-713,681,60Cu,,,,1972Va19,,,,,,,,
,693,?,,,,"not present when beam off, broad peak or combination of peaks",,,,,,,,
,703,?,,,,"almost not present when beam off, broad peakor combination of peaks",,,,,,,,
710-735,727,228Ac? or 212Bi?,,,,"time independent, definitely a background line",,,,,,,,
735-760,743,?,,,,weaker or maybe not present when beam off,,,,,,,,
,749,60Cu? But not present when beam is off...,,,,1972Va19. Not present when beam is off,,,,,,,,
,755,?,,,,,,,,,,,,
763-800,768,214Bi?,,,,,,,,,,,,
,772,?,,,,,,,,,,,,
,778,?,,,,,,,,,,,,
,782,?,,,,not present when beam off,,,,,,,,
,786,?,,,,,,,,none,,,,
,795,228Ac,,,,"don't see corresponding gammas, but may just not have the statistics",,,,,,,,
800-818,806,214Bi?,,,,,,,,,,,,
,811,?,,,,,,,,,,,,
820-830,826,60Cu,826.4,0.2,yes,1972Va19,,,,,,,,
830-841,834,,,,,only present when beam on,,,,,,,,
,836,228Ac? or 59Cu,,,,"59Cu 1973Va03+1977Se02, seems pretty time independent",,,,,,,,
,839,60Cu,839.2,0.4,yes,"1972Va19, shoulder on 836 keV peak",,,,,,,,
842-872,844,?,,,,,,,,,,,,
,846,56*Fe?,,,,Only present when implanting,,," h848 = degai.get_bg_subtracted_projection(ab_coincidence_hist, (845,849), (841,844))","846, 1238, 1810?",,,,
,850,?,,,,"peak seen in 2021Or, but I don't see it in sum spectrum. Should be weak peak here from 59Cu as well",,,,,,,,
,854,58Cu,855.0,0.4,yes,1972Jo01,,,,,,,,
,860,208Tl?,,,,,,,,,,,,
,867,?,,,,only present when beam on,,,,,,,,
872-900,878,59Cu,878.00,0.07,yes,1973Va03+1977Se02,,,,,,,,
,887?,?,,,,,,,,,,,,
,893,?,,,,only present when beam on,,,,,,,,
,896,60Cu,,,"no, not a clear peak in beam off spectrum","1972Va19, shows up as possible shoulder on 893 peak",,,,,,,,
900-920,904,?,,,,,,,,,,,,
,909,60Cu,,,"no, swamped by 228Ac peak","1972Va19, if present, shows as shoulder on 911 peak",,,,,,,,
,911,228Ac?,,,,,,,,,,,,
,913,60Ga? 69Zn? 60Ga beta-p to 59Cu excited state?,914.2,0.1,yes,"shoulder on 911 peak, observed in 2021Or01. Also overlaps with 914.2 keV gamma from 59Zn 1983Ar12",,,,,,,,
920-940,931,,,,,,,,,,,,,
,934,214Bi?,,,,,,,,,,,,
940-958,947,56*Fe? or 60Zn?,,,,"1969Ho01 for 60Zn, did not place in level scheme",,,,,,,,
,952,60Cu,,,"no, low fit p value",1972Va19,,,,,,,,
958-972,964,228Ac?,,,,,,,,,,,,
,969,228Ac?,,,,,,,,,,,,
973-995,975,?,,,,,,,,,,,,
,984,60Cu,984.5,0.6,yes,1972Va19,,,,,,,,
,988,?,,,,,,,,,,,,
,994,60Cu,,,"no, uncertainty not listed in nudat",1972Va19 unable to place in level scheme,,,,,,,,
998-1010,1000,59Cu?,,,,needed for good fit of 1003 peak,,,,,,,,
