GET,DDAS,Start Time,End Time,Duration,Run Type,LN2 fill?,H5 on TPC GPU,Field Cage Functional?,SCA Lower Limit,degrader angle,good data?,final beam settings?,source type,source location,Comments,
,287,11/19/2025 19:41,11/20/2025 12:17,16:36:06,Background,,,,,,,,,,,
,286,,,,Background,,,,,,,,,,,
309,285,,,,Background,,no?,,,,,,,,,
306,284,,,,,,,no,,,,,,,,
306,283,,,,59Zn PID,,,no,,,,,,,,
305?,282,,,,59Zn PID,,,,,,,,,,"att x1k, continuous beam; high rates in C7 A&B for a couple minutes",
305?,281,,,,Background,,,,,,,,,,,
303,280,,,,59Zn,,,no,,34,,,,,degrader angle 34 deg,
302,279,,,,59Zn,,,partial,,,,,,,,
301,278,,,,59Zn,,,yes,,38,,,,,,
300,277,,,,59Zn,,,yes,,38,,,,,,
299,277,,,,59Zn,,,yes,,38,,,,,,
298,276,,,,59Zn,,no?,yes,,41,,,,,,
297,275,,,,59Zn,,no?,yes,,41,,,,,,
296,274,,,,59Zn,,,yes,,41,,,,,,
295,,,,,background,,,,,41,,,,,,
,273,,,,background,,,,,41,,,,,Gamma Rawy Background Run while GET is being fixed,
289,272,,,,59Zn?,,,no,,41,,,,,"GET diagnostics during this run, beam was partially off during this run.",
288,271,,,,59Zn,,,no,,39,,,,,,
287,270,,,,59Zn,,,partial,,39,,,,,,
286,269,,,,59Zn,,,yes,,?,,,,,,
285,268,,,,59Zn,,,yes,,?,,,,,,
284,267,,,,59Zn 5 att,,,yes,,?,,,,,,
283,266,,,,59Zn 10 att,,,yes,,?,,,,,,
282,265,,,,59Zn 100 att,,,yes,,?,,,,,,
281?,264,,,,59Zn 1k att,,,yes,,?,,,,,,
,263,,,,59Zn PID,,,,,,,,,,,
,262,,,,59Zn PID,,,,,,,,,,,
,261,,,,Background,,,,,,,,,,,
,260,,,,Background,,,,,,,,,,,
,259,,,,60Ga PID,,,,,,,,,,,
280,,,,,Background,,,,,,,,,,Set gating grid to transparent. Will let run go through PID + 59Zn beam development,
,258,,,,Background,,,,,,,,,,background while setting up for PID,
279,257,11/18/2025 5:53:26,,,60Ga,,,,,,,yes,,,,
278,256,,,,60Ga,,,,,,,yes,,,,
277,255,,,,60Ga,,,,,,,yes,,,,
276,254,,,,60Ga,,,,,,,yes,,,,
