fit_window,peak energy,from decay of,known peak energy (keV),known peak energy uncertainty(keV),use for calibration?,notes,
550-3600,635,60Ga,,,,,550-985
,722,60Ga,,,,,
,774,60Ga,,,,,
,822,59Zn,,,,,
,907,59Zn,914.4917904,1.058617585,yes,"1/2- state, seen in 58Ni(p,g), energy from 3He(d,g). ",
,958,59Zn,,,,,
,1005,60Ga,,,,needed to fit full window w/ higher statistics,
,1055,59Zn,1062.909955,4.930210108,,,1030-1600
,1095,60Ga,,,,,
,1115,60Ga,,,,,
,1190,60Ga,,,,,
,1245,59Zn,1264,10,,from previous 59Zn beta decay,
,1275,59Zn,,,,not previously observed,
,1325,60Ga,,,,,
,1330,59Zn,1332.225035,2.974800503,,"1300-1580, also duplicated 1270",
,1370,59Zn,1375.472712,4.930210108,,,
,1390,60Ga,,,,,
,1458,60Ga,,,,,
,1525,60Ga,,,,,
,1615,60Ga,,,,,1585-1900
,1730,60Ga,,,,,
,1800,59Zn,,,,,
,1830,59Zn,,,,,
,1867,59Zn,,,,,
,1798,59Zn,1781.017975,0.7924407269,yes,,
,1805,60Ga,,,,,
,1830,59Zn,1813.846894,3.951216144,,,
,1867,59Zn,1857,5,,from 59Zn prev measurement,
,1930,60Ga,,,,,
,1955,60Ga,,,,added for full window fit,
,2005,60Ga,,,,,
,2030,60Ga,,,,,
,2040,59Zn,,,,,
,2070,60Ga,,,,,
,2071,59Zn,,,,,
,2185,59Zn,,,,,
,2225,59Zn,,,,,
,2305,60Ga,,,,,
,2407,59Zn,,,,,
,2460,59Zn,,,,,
,2540,60Ga,,,,,
,2650,60Ga,,,,,
,3070,60Ga,,,,,
,3115,61Ge,,,,,
